timestamp,test-class,test-method,time,description,result
"2022-06-01 22:36:41.582","acme.testing.inventor.chimpum.AdministratorDashboardTest","positivePatronDashboardTest",17205,""[1] recordIndex=0"","OK"
"2022-06-01 22:37:07.809","acme.testing.inventor.chimpum.AdministratorDashboardTest","hackingTest",25375,""hackingTest()"","OK"
"2022-06-01 22:37:29.12","acme.testing.inventor.chimpum.InventorChimpumShowTest","positiveTest",16570,""[1] recordIndex=0, code=ABC-22-05-24, title=This is a test, description=This is a test, budget=EUR 600.00, creationMoment=2022/05/24 21:00, startDate=2022/06/01 15:00, endDate=2022/06/08 15:00, moreInfo=https://moreinfo.com/"","OK"
"2022-06-01 22:37:43.757","acme.testing.inventor.chimpum.InventorChimpumShowTest","positiveTest",13532,""[2] recordIndex=1, code=ERT-22-05-26, title=This is another test, description=This is another test, budget=EUR 300.00, creationMoment=2022/05/26 20:00, startDate=2022/06/01 16:00, endDate=2022/06/08 16:00, moreInfo=null"","OK"
"2022-06-01 22:38:18.384","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","positiveTest",29901,""[1] recordIndex=0, code=AAA, title=This is a positive create test, description=This is a test, budget=GBP 200.00, startDate=2022/08/15 11:00, endDate=2022/08/24 12:00, moreInfo=null"","OK"
"2022-06-01 22:38:41.952","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","hackingCreateTest",22084,""hackingCreateTest()"","OK"
"2022-06-01 22:39:05.341","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","hackingDeleteTest",22571,""hackingDeleteTest()"","OK"
"2022-06-01 22:39:21.597","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",15539,""[1] recordIndex=0, code=BBB, title=null, description=This is a test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:39:38.441","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",16099,""[2] recordIndex=1, code=CCC, title=This is a negative test, description=null, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:39:54.422","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",14974,""[3] recordIndex=2, code=EEE, title=This is a negative test, description=This is a negative test, budget=null, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:40:09.519","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",14407,""[4] recordIndex=3, code=DDD, title=This is a negative test, description=This is a negative test, budget=EUR 200.00, startDate=null, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:40:25.017","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",14792,""[5] recordIndex=4, code=RRR, title=This is a negative test, description=This is a negative test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=null, moreInfo=null"","OK"
"2022-06-01 22:40:39.769","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",14047,""[6] recordIndex=5, code=RRR, title=This is a negative test, description=This is a negative test, budget=YEN 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:40:55.189","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",14714,""[7] recordIndex=6, code=RRR, title=This is a negative test, description=This is a negative test, budget=EUR 200.00, startDate=2022/04/20 20:00, endDate=2022/08/28 21:00, moreInfo=null"","OK"
"2022-06-01 22:41:11.415","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",15502,""[8] recordIndex=7, code=RRR, title=This is a negative test, description=This is a negative test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/22 20:00, moreInfo=null"","OK"
"2022-06-01 22:41:28.294","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",16141,""[9] recordIndex=8, code=EEE, title=sex, description=This is a test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:41:44.71","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",15589,""[10] recordIndex=9, code=EEE, title=This is a test, description=sex, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:42:00.382","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",14971,""[11] recordIndex=10, code=EEE, title=This is a testttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt, description=aa, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:42:16.621","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",15541,""[12] recordIndex=11, code=YYY, title=aa, description=This is a testttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:42:32.824","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",15296,""[13] recordIndex=12, code=III, title=This is a negative test, description=This a negative test, budget=EUR -10.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:42:50.964","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",17331,""[14] recordIndex=13, code=YUY, title=This is a negative test, description=This a negative test, budget=EUR 10.00, startDate=20/08/22 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:43:06.399","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",14247,""[15] recordIndex=14, code=TRE, title=This is a negative test, description=This a negative test, budget=EUR 10.00, startDate=2022/08/20 20:00, endDate=28/08/22 20:00, moreInfo=null"","OK"
"2022-06-01 22:43:22.807","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",15684,""[16] recordIndex=15, code=null, title=This is a negative test, description=This is a test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:43:48.209","acme.testing.inventor.chimpum.InventorChimpumListTest","hackingTest",21457,""hackingTest()"","OK"
"2022-06-01 22:43:55.443","acme.testing.inventor.chimpum.InventorChimpumListTest","positiveTest",6561,""[1] recordIndex=0, code=ABC-22-05-24, title=This is a test, budget=EUR 600.00, startDate=2022/06/01 15:00, endDate=2022/06/08 15:00"","OK"
"2022-06-01 22:44:17.476","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","positiveTest",18102,""[1] recordIndex=0, code=ABC-22-05-24, title=This is a update test, description=This is a update test, budget=USD 3.50, startDate=2022/08/15 10:00, endDate=2022/08/25 10:00, moreInfo=null"","OK"
"2022-06-01 22:44:38.435","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","hackingTest",20254,""hackingTest()"","OK"
"2022-06-01 22:44:52.903","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",13636,""[1] recordIndex=0, code=AAA-22-05-24, title=null, description=This is a test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:45:07.198","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",13546,""[2] recordIndex=1, code=AAA-22-05-24, title=This is a negative update test, description=null, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:45:21.63","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",13657,""[3] recordIndex=2, code=AAA-22-05-24, title=This is a negative update test, description=This is a negative test, budget=null, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:45:36.812","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",14351,""[4] recordIndex=3, code=VVV-22-05-24, title=This is a negative update test, description=This is a negative test, budget=EUR 200.00, startDate=null, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:45:51.539","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",14021,""[5] recordIndex=4, code=TTT-22-05-24, title=This is a negative update test, description=This is a negative test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=null, moreInfo=null"","OK"
"2022-06-01 22:46:06.409","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",14151,""[6] recordIndex=5, code=EEE-22-05-24, title=This is a negative update test, description=This is a negative test, budget=YEN 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:46:19.672","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",12525,""[7] recordIndex=6, code=TTT-22-05-24, title=This is a negative update test, description=This is a negative test, budget=EUR 200.00, startDate=2022/04/20 20:00, endDate=2022/08/28 21:00, moreInfo=null"","OK"
"2022-06-01 22:46:35.37","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",14840,""[8] recordIndex=7, code=AAA-22-05-24, title=This is a negative update test, description=This is a negative test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/22 20:00, moreInfo=null"","OK"
"2022-06-01 22:46:49.81","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",13568,""[9] recordIndex=8, code=EEE-22-05-24, title=sex, description=This is a test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:47:03.496","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",12966,""[10] recordIndex=9, code=EEE-22-05-24, title=This is a test, description=sex, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:47:18.324","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",14139,""[11] recordIndex=10, code=UUU-22-05-24, title=This is a testttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt, description=aa, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:47:32.996","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",13941,""[12] recordIndex=11, code=UII-22-05-24, title=aa, description=This is a testttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:47:49.343","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",15660,""[13] recordIndex=12, code=OPE-22-05-24, title=This is a negative update test, description=This a negative test, budget=EUR -10.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:48:04.771","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",14553,""[14] recordIndex=13, code=WWW-22-05-24, title=This is a negative update test, description=This a negative test, budget=EUR 10.00, startDate=20/08/22 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-01 22:48:18.269","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",12580,""[15] recordIndex=14, code=AAA-22-05-24, title=This is a negative update test, description=This a negative test, budget=EUR 10.00, startDate=2022/08/20 20:00, endDate=28/08/22 20:00, moreInfo=null"","OK"
"2022-06-01 22:48:32.434","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",13472,""[16] recordIndex=15, code=ABC-28-05-24, title=This is a update test, description=This is a update test, budget=USD 3.50, startDate=2022/08/15 10:00, endDate=2022/08/25 10:00, moreInfo=null"","OK"
"2022-06-01 22:48:46.903","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",13765,""[17] recordIndex=16, code=ARRRR-22-05-24, title=This is a update test, description=This is a update test, budget=USD 3.50, startDate=2022/08/15 10:00, endDate=2022/08/25 10:00, moreInfo=null"","OK"
